study_time_hours,attendance_percent,previous_grade,study_efficiency,study_time_x_previous_grade,attendance_x_sleep,final_grade
1.2,89.6,68.7,107.52,82.44,492.79999999999995,2
3.7,87.4,82.6,323.38000000000005,305.62,533.14,3
2.9,84.0,92.9,243.6,269.41,663.6,3
2.4,90.0,100.0,216.0,240.0,486.00000000000006,4
0.7,69.4,87.2,48.58,61.04,541.32,2
5.1,77.5,54.4,395.25,277.44,449.5,2
2.6,78.3,74.8,203.58,194.48,485.46,3
4.3,75.7,62.4,325.51,268.32,287.66,3
3.5,89.3,71.2,312.55,249.20000000000002,866.2099999999999,4
5.2,98.7,53.1,513.24,276.12,878.4300000000001,4
0.5,87.6,67.8,43.8,33.9,578.16,2
4.4,83.8,41.5,368.72,182.60000000000002,544.6999999999999,2
4.2,100.0,76.7,420.0,322.14000000000004,790.0,4
7.3,94.6,83.6,690.5799999999999,610.28,387.85999999999996,3
4.9,100.0,64.3,490.00000000000006,315.07,840.0,4
4.0,82.7,56.4,330.8,225.6,479.66,2
4.1,73.5,69.9,301.34999999999997,286.59,514.5,3
6.8,95.1,47.1,646.68,320.28000000000003,646.68,3
1.1,98.7,74.9,108.57000000000001,82.39000000000001,631.6800000000001,2
2.4,78.9,73.1,189.36,175.43999999999997,512.85,3
4.6,77.5,67.7,356.5,311.42,534.75,4
3.2,80.2,58.0,256.64000000000004,185.60000000000002,537.34,3
4.3,85.8,69.2,368.94,297.56,531.96,4
1.4,96.3,58.6,134.82,82.03999999999999,683.7299999999999,1
3.1,80.5,72.9,249.55,225.99000000000004,362.25,1
3.7,97.4,67.0,360.38000000000005,247.9,711.02,4
3.1,86.9,88.5,269.39000000000004,274.35,643.0600000000001,3
2.2,97.4,64.4,214.28000000000003,141.68000000000004,681.8000000000001,3
2.0,70.8,100.0,141.6,200.0,382.32,3
3.7,100.0,71.9,370.0,266.03000000000003,760.0,3
1.8,90.6,53.2,163.07999999999998,95.76,779.16,2
4.4,82.7,72.7,363.88000000000005,319.88000000000005,554.09,4
6.9,81.8,63.8,564.42,440.22,564.42,4
0.8,95.9,78.4,76.72000000000001,62.720000000000006,709.6600000000001,3
2.9,87.0,61.0,252.29999999999998,176.9,435.0,3
5.0,78.8,83.5,394.0,417.5,378.23999999999995,4
1.6,72.5,85.7,116.0,137.12,594.5,4
5.5,68.9,65.4,378.95000000000005,359.70000000000005,461.63000000000005,3
3.1,86.6,85.0,268.46,263.5,675.4799999999999,3
2.0,87.5,74.1,175.0,148.2,533.75,2
4.1,85.2,61.6,349.32,252.55999999999997,579.36,3
4.4,78.8,56.9,346.72,250.36,520.0799999999999,2
3.6,76.7,51.8,276.12,186.48,414.18000000000006,2
3.0,81.1,46.4,243.29999999999998,139.2,575.81,1
2.0,78.7,70.3,157.4,140.6,605.99,3
2.4,94.3,86.8,226.32,208.32,669.53,3
3.3,86.7,82.9,286.11,273.57,580.89,4
4.9,75.2,55.9,368.48,273.91,594.08,2
4.4,80.1,48.8,352.44,214.72,464.5799999999999,2
4.8,76.9,69.3,369.12,332.64,553.6800000000001,3
5.1,75.1,65.9,383.00999999999993,336.09000000000003,337.95,3
1.7,92.0,55.2,156.4,93.84,506.0,1
2.9,86.1,67.0,249.68999999999997,194.29999999999998,585.4799999999999,3
3.4,86.5,95.5,294.09999999999997,324.7,614.15,4
2.8,86.7,69.3,242.76,194.04,580.89,2
2.4,87.4,67.5,209.76000000000002,162.0,585.58,3
2.6,90.0,67.3,234.0,174.98,468.0,2
3.4,83.1,85.8,282.53999999999996,291.71999999999997,382.25999999999993,2
5.7,96.2,41.5,548.34,236.55,461.76,3
0.7,92.8,70.5,64.96,49.349999999999994,593.92,1
3.5,98.1,85.5,343.34999999999997,299.25,667.0799999999999,4
3.8,78.8,77.2,299.44,293.36,598.88,3
2.9,77.0,68.2,223.29999999999998,197.78,523.6,2
5.6,85.8,76.4,480.47999999999996,427.84000000000003,669.24,4
5.9,90.0,69.7,531.0,411.23,693.0,4
2.8,67.0,65.6,187.6,183.67999999999998,448.90000000000003,2
5.7,82.5,74.4,470.25,424.08000000000004,684.7500000000001,3
4.2,70.6,75.0,296.52,315.0,543.62,3
4.1,72.8,77.9,298.47999999999996,319.39,524.16,4
7.2,74.8,58.3,538.56,419.76,351.56,3
0.5,73.9,75.5,36.95,37.75,450.79,2
2.4,81.3,74.6,195.11999999999998,179.04,642.27,3
4.4,92.6,56.4,407.44,248.16000000000003,509.29999999999995,3
3.2,86.8,59.8,277.76,191.36,729.12,2
2.6,78.5,62.4,204.1,162.24,478.84999999999997,1
4.3,97.4,65.5,418.82,281.65,555.1800000000001,4
6.1,93.3,59.7,569.13,364.17,569.13,4
2.8,86.8,90.2,243.03999999999996,252.56,451.36,4
3.4,90.2,77.6,306.68,263.84,496.1,3
4.6,79.2,57.9,364.32,266.34,522.72,3
1.1,90.0,67.0,99.00000000000001,73.7,810.0,3
5.0,100.0,57.4,500.0,287.0,540.0,3
4.9,85.3,88.5,417.97,433.65000000000003,673.87,4
3.8,84.7,78.8,321.86,299.44,474.32,3
2.8,90.1,84.1,252.27999999999997,235.47999999999996,522.5799999999999,3
2.0,90.2,87.1,180.4,174.2,685.52,2
1.3,96.0,79.7,124.80000000000001,103.61000000000001,844.8000000000001,3
3.1,96.9,62.2,300.39000000000004,192.82000000000002,668.6100000000001,2
3.7,93.9,93.0,347.43000000000006,344.1,798.1500000000001,4
5.7,78.5,69.2,447.45,394.44000000000005,675.1,4
4.2,74.7,69.3,313.74,291.06,410.85,3
2.7,88.5,99.3,238.95000000000002,268.11,646.05,4
3.5,91.1,64.5,318.84999999999997,225.75,674.14,2
5.5,78.3,73.4,430.65,403.70000000000005,665.55,3
4.0,94.3,65.1,377.2,260.4,716.68,2
2.8,96.2,64.8,269.36,181.43999999999997,798.46,3
4.7,100.0,57.4,470.0,269.78000000000003,730.0,4
4.9,100.0,85.9,490.00000000000006,420.9100000000001,580.0,4
3.1,93.1,86.5,288.61,268.15000000000003,353.78,3
1.8,79.5,53.2,143.1,95.76,683.6999999999999,1
4.8,85.4,69.0,409.92,331.2,546.5600000000001,4
1.7,88.1,71.9,149.76999999999998,122.23,660.75,2
3.4,81.6,47.4,277.44,161.16,538.56,2
1.8,84.2,75.9,151.56,136.62,572.5600000000001,4
2.7,84.4,83.0,227.88000000000002,224.10000000000002,844.0,3
3.8,83.7,78.5,318.06,298.3,518.94,4
5.2,73.1,47.0,380.12,244.4,431.29,4
4.4,76.9,53.6,338.36000000000007,235.84000000000003,476.78000000000003,2
1.2,89.1,100.0,106.91999999999999,120.0,632.6099999999999,3
0.5,79.0,48.9,39.5,24.45,766.3,1
2.2,90.1,66.2,198.22,145.64000000000001,720.8,3
6.1,85.0,84.1,518.5,513.01,620.5,4
4.2,100.0,68.5,420.0,287.7,650.0,3
0.5,99.2,58.9,49.6,29.45,644.8000000000001,1
4.4,71.5,43.1,314.6,189.64000000000001,343.2,1
2.3,80.4,72.4,184.92,166.52,393.96000000000004,1
5.7,81.4,72.3,463.9800000000001,412.11,610.5,3
2.4,87.5,64.2,210.0,154.08,489.99999999999994,3
5.3,92.4,87.5,489.72,463.75,526.6800000000001,4
1.2,93.1,79.3,111.71999999999998,95.16,688.9399999999999,3
6.2,84.7,31.3,525.14,194.06,601.37,2
2.7,83.8,68.5,226.26000000000002,184.95000000000002,477.66,2
4.1,85.9,95.1,352.19,389.90999999999997,463.86000000000007,3
1.5,92.1,86.2,138.14999999999998,129.3,442.08,3
2.2,100.0,66.9,220.00000000000003,147.18000000000004,810.0,3
5.6,87.3,59.1,488.87999999999994,330.96,811.89,4
3.7,86.6,69.7,320.42,257.89000000000004,614.8599999999999,3
1.9,67.4,75.5,128.06,143.45,451.58000000000004,1
0.5,92.5,76.2,46.25,38.1,693.75,2
1.5,89.6,73.6,134.39999999999998,110.39999999999999,689.92,3
4.1,80.2,63.9,328.82,261.98999999999995,489.21999999999997,3
2.9,79.7,73.2,231.13,212.28,629.63,2
3.0,89.2,63.6,267.6,190.8,758.2,4
0.9,82.0,61.2,73.8,55.080000000000005,467.40000000000003,1
4.6,96.9,64.8,445.74,298.08,697.6800000000001,3
2.5,55.6,64.8,139.0,162.0,372.52000000000004,1
4.6,71.3,95.5,327.97999999999996,439.29999999999995,491.97,4
3.1,100.0,48.3,310.0,149.73,590.0,2
6.0,85.2,72.2,511.20000000000005,433.20000000000005,562.3199999999999,4
4.0,92.2,67.3,368.8,269.2,580.86,3
2.2,81.3,59.4,178.86,130.68,536.5799999999999,2
4.6,85.3,52.2,392.37999999999994,240.12,690.93,3
6.0,75.3,49.3,451.79999999999995,295.79999999999995,655.1099999999999,4
2.6,56.3,69.4,146.38,180.44000000000003,388.47,2
3.6,87.8,48.5,316.08,174.6,561.92,1
1.4,81.9,64.0,114.66,89.6,647.0100000000001,2
1.5,87.3,57.3,130.95,85.94999999999999,558.72,2
4.6,98.1,64.4,451.25999999999993,296.24,735.75,3
2.0,80.1,77.2,160.2,154.4,544.68,2
5.3,74.1,69.8,392.72999999999996,369.94,422.37,3
5.9,74.1,57.2,437.19,337.48,615.03,4
4.0,71.4,49.1,285.6,196.4,435.54,0
4.9,79.3,79.2,388.57,388.08000000000004,578.89,4
2.4,59.0,68.7,141.6,164.88,483.79999999999995,2
3.4,94.7,70.2,321.98,238.68,501.91,3
5.6,78.2,73.7,437.92,412.71999999999997,351.90000000000003,4
3.9,74.5,72.2,290.55,281.58,476.8,2
4.4,95.6,71.2,420.64,313.28000000000003,783.9199999999998,3
3.4,88.1,47.9,299.53999999999996,162.85999999999999,502.16999999999996,3
4.1,71.2,46.8,291.91999999999996,191.87999999999997,590.96,3
3.2,73.9,66.3,236.48000000000002,212.16,443.40000000000003,2
3.5,80.2,71.7,280.7,250.95000000000002,489.21999999999997,1
6.2,83.5,72.0,517.7,446.40000000000003,509.34999999999997,3
7.1,82.7,93.8,587.17,665.9799999999999,545.8199999999999,4
5.2,76.9,40.1,399.88000000000005,208.52,684.4100000000001,3
4.4,80.3,76.0,353.32,334.40000000000003,505.89,4
5.3,93.7,70.8,496.61,375.23999999999995,655.9,4
0.8,88.2,66.8,70.56,53.44,696.7800000000001,2
1.5,89.2,53.8,133.8,80.69999999999999,651.16,3
2.3,98.9,79.4,227.47,182.62,583.5100000000001,3
2.8,94.1,84.3,263.47999999999996,236.03999999999996,338.76,4
0.5,78.9,70.0,39.45,35.0,757.44,1
2.6,98.2,59.6,255.32000000000002,154.96,530.2800000000001,2
6.3,90.8,67.6,572.04,425.87999999999994,517.56,4
3.9,95.9,60.6,374.01,236.34,460.32,2
2.5,81.2,62.1,203.0,155.25,430.36,3
1.0,75.3,74.3,75.3,74.3,451.79999999999995,2
1.7,88.9,73.8,151.13,125.46,568.96,0
3.6,74.8,80.4,269.28,289.44000000000005,486.2,2
3.8,90.2,46.8,342.76,177.83999999999997,559.24,2
2.7,72.7,78.8,196.29000000000002,212.76000000000002,567.0600000000001,1
0.5,83.1,68.9,41.55,34.45,531.84,2
3.6,73.6,73.3,264.96,263.88,537.28,2
2.1,98.7,58.9,207.27,123.69,740.25,2
1.3,77.7,74.0,101.01,96.2,551.67,2
3.7,69.0,72.9,255.3,269.73,434.7,3
6.9,87.5,33.5,603.75,231.15,638.75,3
6.3,87.8,73.9,553.14,465.57000000000005,544.36,4
2.7,89.3,82.9,241.11,223.83000000000004,553.66,4
4.4,76.0,74.0,334.40000000000003,325.6,395.2,3
6.7,86.4,73.9,578.8800000000001,495.13000000000005,717.1200000000001,4
3.2,83.4,55.9,266.88000000000005,178.88,558.7800000000001,2
3.5,94.5,72.3,330.75,253.04999999999998,453.59999999999997,3
3.6,84.9,64.9,305.64000000000004,233.64000000000001,687.69,2
1.1,74.5,71.0,81.95,78.10000000000001,439.55,2
5.0,78.8,56.6,394.0,283.0,464.92,3
3.2,97.1,91.6,310.72,293.12,631.15,4
1.8,79.2,83.9,142.56,151.02,570.24,3
3.2,78.6,77.1,251.51999999999998,246.72,424.44,3
3.5,79.5,60.9,278.25,213.15,540.6,3
3.6,85.9,62.9,309.24,226.44,601.3000000000001,4
5.2,88.9,73.4,462.28000000000003,381.68000000000006,595.6300000000001,4
4.5,100.0,62.7,450.0,282.15000000000003,790.0,4
1.6,78.2,63.2,125.12,101.12,406.64000000000004,1
6.2,86.4,78.4,535.6800000000001,486.08000000000004,518.4000000000001,3
4.1,86.4,71.5,354.24,293.15,362.88000000000005,2
4.3,100.0,84.8,430.0,364.64,810.0,4
2.3,89.7,61.7,206.31,141.91,654.8100000000001,2
6.7,82.5,63.3,552.75,424.11,635.25,3
4.9,66.3,65.3,324.87,319.97,510.51,3
3.5,91.7,62.6,320.95,219.1,586.88,2
3.6,82.9,76.0,298.44000000000005,273.6,605.1700000000001,2
3.5,89.3,62.8,312.55,219.79999999999998,687.61,3
5.8,82.1,68.9,476.17999999999995,399.62,648.59,4
3.9,84.8,67.0,330.71999999999997,261.3,474.87999999999994,2
3.3,98.2,63.9,324.06,210.86999999999998,549.92,3
4.4,75.4,67.4,331.76000000000005,296.56000000000006,482.56000000000006,3
2.6,92.0,73.1,239.20000000000002,190.06,920.0,4
3.5,81.8,57.3,286.3,200.54999999999998,441.72,2
2.9,82.2,66.5,238.38,192.85,517.86,2
0.9,89.9,66.8,80.91000000000001,60.12,566.37,2
6.1,79.5,75.6,484.95,461.1599999999999,429.3,4
6.7,71.9,68.6,481.7300000000001,459.61999999999995,589.58,4
3.9,77.4,45.4,301.86,177.06,472.14,2
5.4,78.4,67.9,423.36000000000007,366.6600000000001,540.96,4
5.1,91.6,59.5,467.1599999999999,303.45,741.9599999999999,3
0.5,83.6,71.9,41.8,35.95,535.04,1
3.4,86.8,68.6,295.12,233.23999999999998,538.16,1
3.4,81.8,64.9,278.12,220.66000000000003,613.5,2
5.2,80.3,55.9,417.56,290.68,521.9499999999999,3
3.2,90.9,72.4,290.88000000000005,231.68000000000004,718.1100000000001,3
1.7,81.4,82.5,138.38,140.25,447.70000000000005,3
3.5,98.2,59.1,343.7,206.85,775.7800000000001,2
2.1,73.8,71.5,154.98,150.15,398.52000000000004,1
8.1,76.1,74.4,616.41,602.64,395.71999999999997,4
1.7,91.7,75.1,155.89000000000001,127.66999999999999,678.58,2
3.0,91.0,56.6,273.0,169.8,637.0,2
3.2,81.2,79.3,259.84000000000003,253.76,576.52,3
4.5,74.0,54.1,333.0,243.45000000000002,495.8,2
3.7,69.8,72.5,258.26,268.25,321.08,3
2.3,86.2,80.7,198.26,185.60999999999999,525.8199999999999,3
4.7,93.5,49.1,439.45,230.77,673.2,3
3.8,82.9,50.5,315.02,191.89999999999998,497.40000000000003,2
1.6,60.6,98.4,96.96000000000001,157.44000000000003,539.34,3
3.0,85.5,73.5,256.5,220.5,564.3,3
4.5,87.7,71.7,394.65000000000003,322.65000000000003,666.52,3
5.2,80.6,69.5,419.12,361.40000000000003,612.56,3
3.5,63.8,59.1,223.29999999999998,206.85,478.5,2
4.6,91.2,66.9,419.52,307.74,611.0400000000001,4
1.8,82.4,70.9,148.32000000000002,127.62000000000002,527.36,1
2.4,76.6,74.3,183.83999999999997,178.32,428.9599999999999,2
2.3,87.9,82.0,202.17,188.6,571.35,3
5.1,80.6,51.1,411.05999999999995,260.61,620.62,2
2.5,86.9,65.6,217.25,164.0,799.48,3
4.7,75.3,86.1,353.91,404.67,534.63,3
3.9,83.4,87.4,325.26,340.86,525.4200000000001,2
2.6,84.5,65.2,219.70000000000002,169.52,676.0,2
4.1,83.2,64.4,341.12,264.04,632.3199999999999,3
4.0,93.1,78.0,372.4,312.0,782.04,4
2.0,81.5,59.2,163.0,118.4,717.2,2
5.3,94.2,63.7,499.26,337.61,668.8199999999999,3
2.5,82.9,60.3,207.25,150.75,613.46,2
3.3,81.1,66.3,267.62999999999994,218.79,494.7099999999999,3
1.8,90.1,85.7,162.18,154.26000000000002,504.55999999999995,3
2.8,85.2,51.2,238.56,143.35999999999999,698.64,2
2.5,81.9,38.2,204.75,95.5,745.2900000000001,2
0.5,81.3,72.1,40.65,36.05,609.75,1
4.2,88.2,69.9,370.44000000000005,293.58000000000004,679.14,3
3.6,77.1,77.1,277.56,277.56,485.72999999999996,3
2.7,78.2,75.6,211.14000000000001,204.12,492.66,3
4.4,78.1,61.4,343.64,270.16,577.9399999999999,4
5.6,95.0,69.9,532.0,391.44,788.5000000000001,4
6.6,90.4,69.7,596.64,460.02,732.24,4
2.9,97.0,42.7,281.3,123.83,727.5,2
3.4,72.0,66.9,244.79999999999998,227.46,547.1999999999999,3
5.3,84.3,90.8,446.78999999999996,481.23999999999995,413.07,4
2.0,94.5,73.9,189.0,147.8,822.15,2
5.6,76.9,64.6,430.64,361.75999999999993,484.47,2
6.3,75.5,67.8,475.65,427.14,498.29999999999995,4
3.0,85.3,59.1,255.89999999999998,177.3,656.81,2
1.7,100.0,86.4,170.0,146.88,560.0,4
2.6,93.3,79.0,242.58,205.4,485.16,3
2.9,95.3,73.9,276.37,214.31,686.16,2
5.1,90.3,57.2,460.53,291.71999999999997,803.67,3
3.8,87.7,54.0,333.26,205.2,587.59,1
4.4,72.6,93.6,319.44,411.84000000000003,537.24,4
5.1,82.8,95.7,422.28,488.07,670.68,4
3.6,89.0,90.0,320.40000000000003,324.0,614.1,3
3.4,94.9,64.6,322.66,219.64,483.99,2
1.2,91.2,83.3,109.44,99.96,702.24,2
3.9,95.3,73.5,371.66999999999996,286.65,552.74,3
3.6,75.4,59.2,271.44000000000005,213.12,429.78000000000003,2
3.1,91.2,49.5,282.72,153.45000000000002,556.3199999999999,3
7.0,91.8,64.9,642.6,454.30000000000007,752.7599999999999,4
5.1,90.5,44.7,461.54999999999995,227.97,687.8,3
6.3,94.2,95.6,593.46,602.28,649.98,4
5.8,80.0,52.8,464.0,306.23999999999995,424.0,3
6.3,90.0,85.1,567.0,536.13,567.0,4
3.0,78.8,69.6,236.39999999999998,208.79999999999998,441.28,1
4.3,89.4,60.7,384.42,261.01,581.1,4
5.3,81.3,63.8,430.89,338.14,544.71,3
0.5,70.5,86.7,35.25,43.35,535.8,3
3.4,100.0,44.7,340.0,151.98000000000002,680.0,2
0.7,81.1,78.2,56.76999999999999,54.74,559.59,2
2.9,88.7,60.1,257.23,174.29,656.3800000000001,2
4.4,100.0,78.2,440.00000000000006,344.08000000000004,590.0,4
4.0,75.0,62.4,300.0,249.6,607.5,3
5.9,91.7,57.3,541.0300000000001,338.07,430.99,4
4.8,77.8,72.8,373.44,349.44,560.16,4
3.1,84.6,62.4,262.26,193.44,549.9,3
3.0,100.0,71.7,300.0,215.10000000000002,620.0,3
4.3,100.0,62.7,430.0,269.61,590.0,2
3.4,83.8,90.3,284.91999999999996,307.02,720.68,3
3.5,89.2,62.5,312.2,218.75,579.8000000000001,3
4.1,79.5,71.9,325.95,294.79,524.6999999999999,3
0.9,82.4,82.4,74.16000000000001,74.16000000000001,510.88000000000005,2
5.3,79.7,75.5,422.41,400.15,661.5100000000001,3
2.0,92.5,58.7,185.0,117.4,712.25,2
1.4,95.0,75.4,133.0,105.56,627.0,2
2.0,78.5,61.4,157.0,122.8,486.7,3
4.7,89.7,90.9,421.59000000000003,427.23,888.0300000000001,4
5.1,79.1,56.5,403.40999999999997,288.15,577.43,3
3.9,97.7,77.1,381.03000000000003,300.69,595.97,4
3.2,99.5,78.7,318.40000000000003,251.84000000000003,696.5,3
1.4,100.0,72.9,140.0,102.06,780.0,3
1.9,81.3,80.4,154.47,152.76,439.02000000000004,2
3.5,92.9,46.4,325.15000000000003,162.4,631.72,3
3.0,85.2,78.2,255.60000000000002,234.60000000000002,766.8000000000001,3
4.6,94.9,56.6,436.54,260.36,540.9300000000001,4
5.6,85.5,57.3,478.79999999999995,320.87999999999994,359.1,3
3.5,96.7,70.1,338.45,245.34999999999997,589.87,3
1.4,81.9,69.6,114.66,97.43999999999998,352.17,1
4.3,100.0,69.5,430.0,298.84999999999997,780.0,2
4.2,100.0,65.6,420.0,275.52,710.0,4
3.8,89.3,57.5,339.34,218.5,723.3299999999999,3
3.7,92.4,63.0,341.88000000000005,233.10000000000002,674.52,3
5.8,92.9,89.3,538.82,517.9399999999999,510.95000000000005,4
3.6,89.5,56.2,322.2,202.32000000000002,689.15,3
3.4,83.7,55.0,284.58,187.0,602.64,3
4.3,90.0,79.1,387.0,340.12999999999994,503.99999999999994,4
2.4,80.0,67.3,192.0,161.51999999999998,568.0,2
6.2,87.6,75.4,543.12,467.4800000000001,516.84,4
3.7,86.9,92.2,321.53000000000003,341.14000000000004,686.5100000000001,4
4.6,73.7,74.8,339.02,344.08,397.98,2
3.3,78.6,80.5,259.38,265.65,550.1999999999999,4
2.4,93.8,73.7,225.11999999999998,176.88,825.44,3
3.7,92.2,60.1,341.14000000000004,222.37,654.62,3
5.8,92.3,69.1,535.3399999999999,400.78,618.41,4
2.6,100.0,65.6,260.0,170.56,760.0,4
4.6,95.4,58.8,438.84,270.47999999999996,553.32,4
3.8,91.8,47.5,348.84,180.5,697.68,2
4.5,85.0,71.9,382.5,323.55,696.9999999999999,4
3.9,73.6,63.5,287.03999999999996,247.65,544.64,3
3.4,100.0,84.2,340.0,286.28000000000003,800.0,4
3.9,68.8,76.8,268.32,299.52,591.68,3
3.8,94.0,91.7,357.2,348.46,601.6,4
2.7,97.9,81.0,264.33000000000004,218.70000000000002,724.46,4
5.8,76.5,79.9,443.7,463.42,566.1,4
3.7,88.0,79.8,325.6,295.26,519.2,4
0.5,91.7,77.5,45.85,38.75,678.58,2
2.2,100.0,75.1,220.00000000000003,165.22,540.0,3
2.6,100.0,69.6,260.0,180.95999999999998,950.0,3
1.6,91.7,64.5,146.72,103.2,522.69,4
5.8,85.6,66.4,496.47999999999996,385.12,642.0,3
4.2,77.5,80.2,325.5,336.84000000000003,403.0,4
2.5,95.5,48.6,238.75,121.5,687.6,2
6.4,79.5,91.6,508.8,586.24,636.0,4
5.4,84.2,74.8,454.68000000000006,403.92,639.92,4
4.4,77.4,77.0,340.56000000000006,338.8,650.1600000000001,4
4.9,90.1,92.5,441.49,453.25000000000006,675.75,4
2.0,96.1,60.7,192.2,121.4,499.71999999999997,2
1.6,83.3,60.2,133.28,96.32000000000001,616.42,2
